cohort,taxon,taxon_full,n_nonzero,alpha_hat,theta_hat,ks_gamma_p,ks_exp_p,gamma_better
FengQ_2015,s__Ruminococcus_bromii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,140,0.289738867177549,26.195714742111875,0.005777668562381266,8.070640622396055e-15,True
FengQ_2015,s__Anaerostipes_hadrus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,153,0.6293608268708782,8.672705925608641,0.3218646617611378,0.01816350406772133,True
FengQ_2015,s__Collinsella_aerofaciens,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,148,0.4411291211863272,11.366968314760767,0.02298976323960178,0.00014278073141751175,True
FengQ_2015,s__Faecalibacterium_prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,152,0.7260155684079191,6.604401110613275,0.09145174261371569,0.2732294120035502,False
FengQ_2015,s__Bifidobacterium_adolescentis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,124,0.31457201921003763,18.66256208499535,0.364147587246867,2.6700681056317866e-11,True
FengQ_2015,s__Escherichia_coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,120,0.24659307541998976,19.66252935154514,5.7884856111570866e-05,1.0235698703299352e-34,True
FengQ_2015,s__Bifidobacterium_longum,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,134,0.5220011088013489,7.8278773794651215,0.5458864152839564,0.02802109470796965,True
FengQ_2015,s__Akkermansia_muciniphila,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,123,0.28782327155817816,11.610423518604678,0.31170586869717276,5.916153436250357e-16,True
FengQ_2015,s__Eubacterium_hallii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,149,0.6805042626292356,4.032415159452224,0.8082495525018778,0.19111051880964802,True
FengQ_2015,s__Eubacterium_rectale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,144,0.36138485470854165,7.582324649096316,0.387550003246644,1.9951118470137561e-13,True
