state,taxon,taxon_full,n_nonzero,mean_abund,alpha_hat,theta_hat,ks_stat_gamma,ks_p_gamma,ks_stat_exp,gamma_better
control,s__Bacteroides_vulgatus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,365,16.14517884931507,0.755306565525667,21.375663321658788,0.12570738581470725,1.7374078866165978e-05,0.07082224182401098,False
control,s__Faecalibacterium_prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,411,10.331243065693432,0.8978574292353271,11.506551852549887,0.03175225837583595,0.7893562614582235,0.04233428584765275,True
control,s__Prevotella_copri,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,122,29.701466147540984,0.413200295976069,71.8815219562698,0.15642298711494018,0.004498838665148885,0.20393256662646334,True
control,s__Bacteroides_uniformis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,354,9.227685621468929,1.0410201768347966,8.864079512392875,0.07454036097215111,0.03714777970914862,0.07984373640014036,True
control,s__Bacteroides_stercoris,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,263,10.81412041825095,0.5229084554664398,20.68071438738668,0.10055756348463935,0.009091713319911083,0.25066902787751827,True
control,s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,179,12.397456927374304,0.3114544638429856,39.805038509977074,0.09616115878796261,0.06827179204926725,0.2918306246287061,True
control,s__Alistipes_putredinis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,337,5.121154035608308,1.5205139074164937,3.368041561888549,0.09820813535361822,0.0027869210249633915,0.17073818337589536,True
control,s__Roseburia_faecis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,303,3.8914122442244223,0.4379320802303691,8.885880756160612,0.12487806593380935,0.00014099275788688158,0.30251588801976304,True
control,s__Bacteroides_caccae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,315,3.1534494603174608,1.1515347601024304,2.7384752675958803,0.0461140298824555,0.4998738397107678,0.06673231849868175,True
control,s__Roseburia_intestinalis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,281,3.3483795373665477,0.378161357581471,8.85436724360493,0.1572248510957378,1.5595932090978451e-06,0.34693705023651533,True
control,s__Eubacterium_rectale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,370,2.133030621621621,0.5729515803050763,3.722881121099026,0.040321684204301794,0.5702311964176572,0.16271247031241848,True
control,s__Parabacteroides_distasonis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,342,2.1524562280701756,1.3271649978801208,1.621845235150333,0.03688299345594326,0.7264077297171718,0.076766073420936,True
control,s__Bacteroides_thetaiotaomicron,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,326,2.183177791411043,0.6311654912025761,3.4589625412684986,0.10685206317083662,0.0010740310333483738,0.18642370860267332,True
control,s__Parabacteroides_merdae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,253,2.7036507114624504,1.0120592147626275,2.671435299461777,0.08543927168639731,0.04686813350312202,0.086423341609149,True
control,s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,327,1.942012079510703,0.46989283524536907,4.132882933821754,0.09679570090025424,0.004055097793220406,0.19901703473531046,True
control,s__Bacteroides_ovatus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,336,1.8434480654761904,0.6467507437043508,2.8503222971458784,0.050777865610938,0.3402069983483814,0.13252002268439284,True
