n_taxa,beta,beta_se,beta_ci_lo,beta_ci_hi,r2,p,alpha,n_samples,biome
185,1.8771064034781346,0.0317835030030099,1.8148107375922353,1.939402069364034,0.9501495812632665,4.147613963691097e-121,2.365068290601716,88,Aerosol (non-saline)
41,1.9537494172053955,0.1378071830910797,1.6836473383468793,2.2238514960639115,0.8374993590678641,5.64641919173589e-17,2.6504886374944476,580,Animal corpus
260,2.0164504209867045,0.030945243209541413,1.9557977442960033,2.0771030976774054,0.9427184928389121,3.1065562753570657e-162,2.453239140777442,4320,Animal distal gut
196,2.02609705362193,0.03195305379454095,1.9634690681846299,2.0887250390592302,0.9539700279465154,1.2093564221201642e-131,2.5512725176240325,395,Animal proximal gut
110,1.8368117327644229,0.04688156459890783,1.7449238661505635,1.9286995993782823,0.9342689491748358,1.1437224738873313e-65,3.380715879949281,1335,Animal secretion
202,1.977887807952548,0.0421530686106498,1.8952677934756743,2.0605078224294218,0.9167233277178151,6.635967025884577e-110,3.899839927264118,3632,Animal surface
4773,1.9705298948784655,0.008843627933843098,1.953196384128133,1.987863405628798,0.9123290357399557,0.0,1.647334464852348,636,Plant rhizosphere
280,1.815139879830425,0.025702848907950878,1.7647622959708413,1.8655174636900087,0.9472005882144631,1.3698166173432286e-179,3.5558465803657384,1661,Plant surface
2976,1.9590514176569889,0.009675599097638548,1.9400872434256173,1.9780155918883604,0.9323621694811997,0.0,1.753998039133858,563,Sediment (non-saline)
1249,2.051537289555398,0.015077980033559127,2.021984448689622,2.081090130421174,0.936892127375092,0.0,2.1162184672503823,641,Sediment (saline)
1416,1.9842150239891223,0.016425385310617737,1.9520212687803116,2.016408779197933,0.9116639721497684,0.0,2.5849482303985116,4470,Soil (non-saline)
206,1.9288694797418926,0.03572238837158253,1.8588535985335908,1.9988853609501944,0.9346065457288676,8.823225592002573e-123,3.4376066695116725,1308,Surface (non-saline)
135,2.068162729797303,0.032839372345825756,2.0037975599994846,2.1325278995951216,0.9675550141006161,6.879660078631027e-101,2.310411999234379,126,Surface (saline)
347,1.9055568476110534,0.036402150230270665,1.834208633159723,1.9769050620623838,0.8881775180326802,3.3851894169577295e-166,3.870365592992923,5390,Water (non-saline)
234,1.8806888275428997,0.029440071997920952,1.8229862864269746,1.9383913686588248,0.9462079115048804,3.1186344204758094e-149,3.2597157335438354,698,Water (saline)
