theta,migration,replicate,beta,beta_se,r2,n_taxa,gamma_better_frac
10.0,0.01,0,1.0403373994406044,0.04180161372439676,0.9280777491175551,50,0.9
10.0,0.01,1,1.0613216901536415,0.04606097016558332,0.9170867850643625,50,0.9333333333333333
10.0,0.01,2,1.044911894244429,0.04638218072542892,0.9135951710638915,50,0.9666666666666667
10.0,0.01,3,0.9883056740310722,0.03900395663885516,0.9304392862910114,50,1.0
10.0,0.01,4,1.0715847312348639,0.04134767163727675,0.9333020421172717,50,0.9333333333333333
10.0,0.01,5,1.05802212818272,0.03681247505805299,0.9450824122757543,50,0.8333333333333334
10.0,0.01,6,0.998962578147104,0.033710680872886194,0.9481719408207732,50,0.9
10.0,0.01,7,1.0116198358758377,0.03343890927994222,0.950167688970039,50,0.9666666666666667
10.0,0.01,8,0.9969015443065957,0.03826075871694411,0.9339649609496788,50,0.9333333333333333
10.0,0.01,9,1.036706487771967,0.049782204223266256,0.900347538548235,50,0.9666666666666667
10.0,0.1,0,0.9620104434801021,0.02447858647557931,0.9698586446892979,50,1.0
10.0,0.1,1,0.9738772025162729,0.027235654271332642,0.963817122575542,50,1.0
10.0,0.1,2,0.9641706888840472,0.025716286627832645,0.9669807112208645,50,1.0
10.0,0.1,3,0.969191597817084,0.029758630639200107,0.956706130914471,50,1.0
10.0,0.1,4,0.9855861892437509,0.02321506367724779,0.9740595627760961,50,1.0
10.0,0.1,5,0.9909890139818616,0.02288275191707817,0.9750457200891572,50,1.0
10.0,0.1,6,0.9880136244002339,0.023246691668525967,0.9741150149236624,50,1.0
10.0,0.1,7,1.0120426238593594,0.024209542841646007,0.9732669337086581,50,1.0
10.0,0.1,8,0.9707031447082253,0.020263399114293687,0.9795118541320975,50,1.0
10.0,0.1,9,0.9965321424375031,0.02648679309614124,0.9672029351207243,50,1.0
10.0,0.5,0,1.020578596291469,0.020617119202535842,0.980787702586549,50,1.0
10.0,0.5,1,0.9297719570739547,0.022922772001726405,0.9716513058071555,50,1.0
10.0,0.5,2,0.9356212702601546,0.02223466249946014,0.9736071729007736,50,1.0
10.0,0.5,3,0.9160118734841812,0.020127062441677234,0.9773509312437589,50,1.0
10.0,0.5,4,0.9674841252058753,0.018473521438502855,0.9828004039914499,50,1.0
10.0,0.5,5,0.9714455494206293,0.02567904959379221,0.9675484875910988,50,1.0
10.0,0.5,6,0.9930320234102238,0.019500324063475405,0.9818267234470724,50,1.0
10.0,0.5,7,0.9803714212493378,0.02425500557654005,0.971457850800268,50,1.0
10.0,0.5,8,0.9787790380134486,0.022245209509845962,0.975805960505686,50,1.0
10.0,0.5,9,0.9507116522037992,0.02392109576363278,0.9705079579780993,50,1.0
30.0,0.01,0,1.109862968761817,0.02965262868214323,0.925970810355701,114,1.0
30.0,0.01,1,1.0665374936662442,0.027391601112078227,0.9300640780307206,116,0.9
30.0,0.01,2,1.0704059456477457,0.02930755974767233,0.9136953397017974,128,0.9666666666666667
30.0,0.01,3,1.0741112842309752,0.03031141410881678,0.9214794605758183,109,0.9666666666666667
30.0,0.01,4,1.1178803288122217,0.02607051896369069,0.937774690839095,124,1.0
30.0,0.01,5,1.0920669295511463,0.029846300103613818,0.9228015091970005,114,0.9666666666666667
30.0,0.01,6,1.045422704395931,0.034661116299188395,0.8974056648610197,106,0.9666666666666667
30.0,0.01,7,1.1838310486235484,0.031310630840216624,0.9195902768268752,127,0.9666666666666667
30.0,0.01,8,1.1265418484338288,0.03726074314298017,0.8882513963309576,117,0.9666666666666667
30.0,0.01,9,1.1270074749943841,0.03229846119214712,0.908247214827415,125,1.0
30.0,0.1,0,0.9958973473085906,0.013460342964346426,0.9736755633390525,150,0.8666666666666667
30.0,0.1,1,1.0509438212376714,0.013523361404148133,0.9760802010248658,150,0.9
30.0,0.1,2,1.0261420826272518,0.01483044614987522,0.9700130210506963,150,0.9333333333333333
30.0,0.1,3,1.0278911705265954,0.01461095968576586,0.9709645667435112,150,0.8
30.0,0.1,4,1.020265520933769,0.015163475366746192,0.9683435465895355,150,0.7666666666666667
30.0,0.1,5,1.0072634520443604,0.015146304028027377,0.9676187810988238,150,0.8
30.0,0.1,6,1.0057859272342464,0.013649625045079892,0.9734653985959673,150,0.8333333333333334
30.0,0.1,7,1.0267777561992923,0.014966408989064409,0.9695141585945692,150,0.7666666666666667
30.0,0.1,8,1.007108098614346,0.014033913802270167,0.9720641384596559,150,0.9
30.0,0.1,9,1.0201402282411516,0.015190895113468257,0.9682250403226993,150,0.8666666666666667
30.0,0.5,0,0.9910272411359685,0.00951319385945043,0.9865457206293525,150,1.0
30.0,0.5,1,0.9796323812504941,0.011490828932742277,0.9800435384639619,150,1.0
30.0,0.5,2,0.9899763745153994,0.011524099703219041,0.9803391444351002,150,1.0
30.0,0.5,3,1.0018997148508166,0.01211391443204701,0.9788219527116262,150,1.0
30.0,0.5,4,1.009159887558868,0.011851555783113862,0.9799960025646896,150,1.0
30.0,0.5,5,1.0085508322457744,0.0099980405488482,0.9856641034241278,150,1.0
30.0,0.5,6,0.9938114682124366,0.010901703263549023,0.9825024967300804,150,1.0
30.0,0.5,7,1.0006723040839303,0.01092524847442328,0.9826641275120913,150,1.0
30.0,0.5,8,1.0024802656839753,0.010707476361844749,0.9833959995262739,150,1.0
30.0,0.5,9,0.9842385700068625,0.009495165257898255,0.9864129622657061,150,1.0
100.0,0.01,0,1.1535632760752927,0.030876063260756502,0.8708551037995692,209,1.0
100.0,0.01,1,1.1982658023771553,0.031441296249887486,0.883244647776221,194,1.0
100.0,0.01,2,1.2091269660670836,0.03499772546081452,0.8664358078968328,186,0.9666666666666667
100.0,0.01,3,1.180379680424825,0.0306804784263879,0.8767915494076517,210,1.0
100.0,0.01,4,1.2186305599935718,0.03272212907801088,0.8739721400863381,202,0.9666666666666667
100.0,0.01,5,1.2184245937119063,0.0292301093704823,0.8963140675468237,203,1.0
100.0,0.01,6,1.167807401531151,0.03332008520407156,0.8660436935983545,192,0.9666666666666667
100.0,0.01,7,1.1846365344952825,0.032160397921872634,0.8610261637357048,221,1.0
100.0,0.01,8,1.169261632271598,0.030299080232495973,0.8795208734425117,206,1.0
100.0,0.01,9,1.166442973958459,0.030304133394242996,0.8922059340962223,181,1.0
100.0,0.1,0,1.0588678323855998,0.011160680124885754,0.9598005459466981,379,0.7333333333333333
100.0,0.1,1,1.0528607805912091,0.011142404951232459,0.9626938629404143,348,0.8
100.0,0.1,2,1.0378466770545731,0.01086257356791376,0.9614514960293579,368,0.7333333333333333
100.0,0.1,3,1.0641387516399814,0.010994561133451626,0.960130644780236,391,0.9
100.0,0.1,4,1.0387537823817383,0.012438491967282273,0.9492318478407397,375,0.7333333333333333
100.0,0.1,5,1.0535374748617314,0.01103632545853448,0.9615903370646111,366,0.8
100.0,0.1,6,1.0708440484423378,0.010626780551846252,0.966496221115575,354,0.7666666666666667
100.0,0.1,7,1.0605536211285786,0.011478024275003032,0.9597549560861286,360,0.8
100.0,0.1,8,1.0452552923156977,0.010196099844305218,0.965192211790737,381,0.6666666666666666
100.0,0.1,9,1.0387353254878973,0.011726981115935172,0.9558956229534916,364,0.4666666666666667
100.0,0.5,0,1.0194733228713595,0.005340356769407012,0.9866792127256293,494,1.0
100.0,0.5,1,1.0061073524445114,0.005180437441825511,0.9870465028250172,497,1.0
100.0,0.5,2,0.9960328117954018,0.005347902369042103,0.9859867888870683,495,1.0
100.0,0.5,3,1.0024780191766913,0.005408177285148477,0.9861942606749984,483,1.0
100.0,0.5,4,1.014086892100789,0.0056722773724907204,0.984809787262592,495,1.0
100.0,0.5,5,1.0220468069656252,0.005316369814337515,0.9867044827009139,500,1.0
100.0,0.5,6,1.0183678532748703,0.005456230709627633,0.9861569751611425,491,1.0
100.0,0.5,7,1.0172806496870335,0.00550462496112233,0.985713371559092,497,1.0
100.0,0.5,8,1.012998377910306,0.005460585082387316,0.9857639282689085,499,1.0
100.0,0.5,9,1.0217480865366528,0.005008975813918844,0.9882669365831285,496,1.0
