biome,n_taxa,logK_q05,logK_q25,logK_med,logK_q75,logK_q95,logK_mean,logK_sd,CV2_med,beta,beta_se,alpha,r2
Plant rhizosphere,4773,-0.1820742798791336,0.0886374870420665,0.40498424079015344,0.8223695976372973,1.5033109099787656,0.503435740502022,0.5367034470424412,4.568515868886576,1.9705298948784653,0.008843627933843108,1.6457609004049183,0.9123290357399555
Sediment (non-saline),2976,-0.07290144213085309,0.1829788929973592,0.5010081403928119,0.9038125588519731,1.5846971549487647,0.5933310922556848,0.5235945344278073,5.165659817863997,1.959051417656988,0.009675599097638612,1.7522202608878596,0.9323621694811988
Sediment (saline),1249,0.01609315166861269,0.2675926894357738,0.5472504096285835,0.9685339421777946,1.7664978491397476,0.6759377477293942,0.5534371816101354,7.961408920824277,2.051537289555399,0.01507798003355902,2.1146571866834285,0.9368921273750929
Soil (non-saline),1416,0.12490225969487087,0.4257590338176299,0.7587710932167161,1.1566096262322738,1.800042964488178,0.8376197525295791,0.5294644696470966,11.43680435776276,1.9842150239891219,0.016425385310617758,2.584724491724348,0.9116639721497681
Animal distal gut,260,0.4324343357225018,0.7716459025464283,1.0852829663950836,1.495627314154715,2.121816811198676,1.1693679042120078,0.5476275937502507,10.583251088120587,2.0164504209867036,0.03094524320954159,2.4530076324999888,0.9427184928389114
Surface (non-saline),206,0.6302425797513606,1.023842079953396,1.3025131907886098,1.7710921153271761,2.583350022260786,1.4433992663391935,0.6047003499623775,22.82059612989177,1.928869479741893,0.03572238837158241,3.4368418511187455,0.934606545728868
Water (non-saline),347,0.6091239879967709,1.0049361906731291,1.3415611488039183,1.8399196760385432,2.484333981388759,1.4414914175086273,0.5792185239729933,31.537312374262836,1.9055568476110534,0.03640215023027076,3.870180047023374,0.8881775180326796
Animal surface,202,0.6186411902676697,0.9718532322245729,1.4916645150986998,2.0411010555644764,2.7273045205953586,1.551405740555465,0.6794378420057257,39.612948551431025,1.977887807952547,0.04215306861064978,3.899564558957274,0.9167233277178151
Plant surface,280,0.5696300860450644,1.0332320966618567,1.5149399371453949,2.088532412195077,2.9120803307490384,1.5920173048000419,0.7263022801008777,18.12011380482508,1.815139879830425,0.025702848907950767,3.555244352103033,0.9472005882144635
Animal secretion,110,0.5587131047848195,1.0433841415133556,1.5195376852823728,2.122890491501251,2.8443409498459626,1.6012765315727426,0.7373231009174073,17.048200111568498,1.8368117327644238,0.04688156459890769,3.379966535590495,0.9342689491748363
Animal proximal gut,196,0.49829501772503515,1.1972782284593289,1.659263996926018,2.0202858893271562,2.6703221078050534,1.6189891208544416,0.6316548960007646,14.26043686506327,2.026097053621931,0.0319530537945408,2.54873766202084,0.9539700279465159
Surface (saline),135,0.7570590565186183,1.3259162918961076,1.8135492198339032,2.277224431445593,2.9517606662880236,1.8328531735511657,0.6862147316345876,11.886739706033506,2.068162729797303,0.032839372345825756,2.3024438295852026,0.9675550141006161
Aerosol (non-saline),185,1.269194312931755,1.5919495036718447,1.8437564252319996,2.2046440275924457,2.728632195103248,1.911712899645463,0.4823638976624282,6.097136672850959,1.8771064034781344,0.03178350300300989,2.3536395947780946,0.9501495812632665
Water (saline),234,0.5503055240362136,1.328600667090481,1.9642774584429838,2.4244471678146406,3.293814151474181,1.9180584465155093,0.817686034688599,14.924469009945783,1.8806888275429,0.02944007199792082,3.258282041541987,0.9462079115048808
Animal corpus,41,1.474492572787443,1.8100006345564483,2.0851982779225624,2.4083832635270976,2.8120473607663805,2.0916977995294475,0.48020607279267147,9.01479230243892,1.953749417205396,0.13780718309107975,2.6487630115269756,0.8374993590678641
