excluded_biome,beta_g_loo_mean,beta_g_loo_hdi_lo,beta_g_loo_hdi_hi,shift_vs_full
Aerosol (non-saline),1.9547643253116127,1.906455629337963,1.9993238132807496,0.0022781474164654814
Animal corpus,1.950529859191267,1.9070824150969623,1.9949788298920281,-0.0019563187038802443
Animal distal gut,1.947147786006917,1.902443997244335,1.9924081404753653,-0.005338391888230154
Animal proximal gut,1.9461529329944975,1.9002454242110463,1.991073458927378,-0.006333244900649682
Animal secretion,1.9599903192774315,1.9184920203993296,1.9988369873978884,0.0075041413822842795
Animal surface,1.9489289341461054,1.8992106253738494,1.993374261777192,-0.003557243749041872
Plant rhizosphere,1.947687549910213,1.900546463991737,1.99195232382055,-0.004798627984934134
Plant surface,1.9626522339233257,1.9252726648690406,2.0024608513768043,0.010166056028178438
Sediment (non-saline),1.951977228416158,1.9062403114696407,1.9974646917641685,-0.0005089494789891624
Sediment (saline),1.942252747905438,1.901868021627852,1.9855587880262382,-0.01023342998970933
Soil (non-saline),1.9483501291069039,1.9032335817478856,1.9939734779938407,-0.004136048788243363
Surface (non-saline),1.9538153261294644,1.9074745681801684,1.9980158593780633,0.001329148234317179
Surface (saline),1.9444315742673854,1.8987903958440098,1.987338288424257,-0.00805460362776178
Water (non-saline),1.9544848323848483,1.9073653870837057,1.9994601757705057,0.001998654489701046
Water (saline),1.9588712858967783,1.9159097152045816,2.0037413522463017,0.006385108001631057
