n,rep,n_used,canonical,universal_beta,beta_se,r2,n_points,n_biomes
500,0,500,False,2.043509904110592,0.00803158492459853,0.9636624918519439,3014,5
500,1,500,False,2.042560138223437,0.0085827530346154,0.9647068616209872,2608,5
500,2,500,False,2.0539765383110216,0.008637966607397964,0.9648451610200414,2554,6
500,3,500,False,2.056338202238935,0.00922865356570101,0.9605829075249831,2376,4
500,4,500,False,2.0361422864807293,0.008496242545202698,0.9638494651464073,2704,5
500,5,500,False,2.070745921131,0.009192865204570723,0.9630956040510525,2411,4
500,6,500,False,2.0242469513307335,0.007618966828607696,0.9705326630996155,2606,5
500,7,500,False,2.0652480702373435,0.008580348349007626,0.9700612843893391,2303,5
500,8,500,False,2.011069204636611,0.007921994793238999,0.9686451276055473,2558,5
500,9,500,False,2.0316142411920137,0.007928997756509343,0.9641318692407984,2898,5
500,10,500,False,2.059899141499138,0.009293645258633344,0.9656081848965358,2149,4
500,11,500,False,2.0561944806564543,0.009178388914020078,0.9644181910870839,2270,4
500,12,500,False,2.021679157379056,0.006735122521636918,0.9708678666893552,3553,7
500,13,500,False,2.0545028376243515,0.007315121955468932,0.9683053548050748,3054,6
500,14,500,False,2.0622434135550773,0.00899232800205601,0.967102883183628,2060,4
500,15,500,False,2.0525542068550857,0.007552962413768466,0.9680114711025205,3048,6
500,16,500,False,2.06503614773227,0.007971343768283968,0.9665303481013698,2715,5
500,17,500,False,2.0287864340695543,0.008396035034630746,0.9676983880402015,2323,5
500,18,500,False,2.058730126327826,0.00912294972744014,0.9688060966226797,2020,4
500,19,500,False,2.0129590488845737,0.007352881084709194,0.967985950686137,3107,6
2000,0,2000,False,1.9522277799153627,0.0039874283421221955,0.9683726116782514,12897,12
2000,1,2000,False,1.9486872598187368,0.00406135622213704,0.9648506956168513,13547,12
2000,2,2000,False,1.9534683419464494,0.003949808527585917,0.9691340022543584,12571,11
2000,3,2000,False,1.972137025884531,0.0037963988499164604,0.9700058343473212,13393,13
2000,4,2000,False,1.9779002299710577,0.0038726852014887973,0.9721484115457057,11936,13
2000,5,2000,False,1.9433920795683766,0.004005285683536988,0.9655949426021007,13730,12
2000,6,2000,False,1.9911414303966968,0.00402425424509751,0.9703102657259232,11932,12
2000,7,2000,False,1.9741561280533804,0.003984725810826477,0.9702806486221335,12167,13
2000,8,2000,False,1.9644795291482584,0.003983738044194097,0.9701032386359628,12296,13
2000,9,2000,False,1.978157837372641,0.003976128416859418,0.9709561087385784,11777,12
2000,10,2000,False,1.971823217694408,0.004310040344637393,0.9643335735556314,12392,12
2000,11,2000,False,1.9962350938952707,0.003576698220944024,0.9729777002017213,13524,13
2000,12,2000,False,1.9427124665026843,0.00395141954862161,0.9689374694085667,13417,13
2000,13,2000,False,1.9222191544573648,0.00397007318957222,0.9680910621349249,13325,13
2000,14,2000,False,1.9446938822022997,0.004329331201411541,0.9643429883596283,12513,11
2000,15,2000,False,1.9825767936490664,0.004077105655180985,0.965638065384092,12832,12
2000,16,2000,False,1.948245372962634,0.003939031325775505,0.9674865329471437,13757,13
2000,17,2000,False,2.0013381589688906,0.003993576771180009,0.9706485162910082,11893,13
2000,18,2000,False,1.9627102185809657,0.004006346946658661,0.968948228192136,12180,12
2000,19,2000,False,1.964681078850452,0.0038272367720723773,0.9698307730397482,13089,11
5000,0,5000,False,1.9773945799641763,0.00449371796278415,0.9612281945032045,12761,13
5000,1,5000,False,1.9665412328628364,0.004556025176380046,0.9625728634234515,12593,13
5000,2,5000,False,1.9882186500000332,0.004499289824496703,0.9629296528040202,12319,13
5000,3,5000,False,1.9533156037031683,0.004508854088642762,0.9636600612112066,12205,13
5000,4,5000,False,1.9557822446499227,0.004565232958530697,0.9637707136143,12313,13
5000,5,5000,False,1.969451129440836,0.004576118787109435,0.9601027813225035,12845,13
5000,6,5000,False,1.9819033040061667,0.004343755937320519,0.9647969238261506,12557,13
5000,7,5000,False,1.9665345347403784,0.004575540590808717,0.9648248003833181,11910,13
5000,8,5000,False,1.9775450415661189,0.004567632737573159,0.961683404575435,12568,13
5000,9,5000,False,1.973247643188577,0.004767927820912896,0.9592354916183443,12235,12
5000,10,5000,False,1.970258499583189,0.004575622335072044,0.9621906067354721,12458,13
5000,11,5000,False,1.9908074177395003,0.004524496770536405,0.9624529957634727,12391,13
5000,12,5000,False,1.9820819485899412,0.004639052011110401,0.9621025397584053,12114,13
5000,13,5000,False,1.9908916386832594,0.0045100955042550244,0.9666141432006632,11324,13
5000,14,5000,False,2.0046834686005717,0.00451283352796868,0.9652256018037354,11609,13
5000,15,5000,False,1.963583482553738,0.004274957241570387,0.9649213557221153,12971,13
5000,16,5000,False,1.9815263504245366,0.00443881960472976,0.9639780241961572,12464,13
5000,17,5000,False,1.9750195711838667,0.004334568325202109,0.9646382022697496,12432,13
5000,18,5000,False,1.980058431041023,0.00414420488619424,0.9663749479002722,12792,13
5000,19,5000,False,1.9370883861839328,0.004454897226815699,0.9620467894514306,12895,13
10000,0,10000,False,1.9686364133809648,0.004721880875470328,0.9607076927608243,12511,14
10000,1,10000,False,1.9692991633441748,0.004705098936591197,0.9602711903724923,12389,13
10000,2,10000,False,1.9562873119090105,0.004783219900832413,0.9588165007767337,12585,13
10000,3,10000,False,1.9665835835958134,0.004754607263870684,0.9596980135455975,12799,14
10000,4,10000,False,1.9702625697145104,0.004843945073945572,0.957616194508048,12552,13
10000,5,10000,False,1.9669704415073854,0.004738624232098017,0.9582319139249714,12682,13
10000,6,10000,False,1.975148450716611,0.004638970105376625,0.9602048539291262,12572,14
10000,7,10000,False,1.9674625816845528,0.004728476457306437,0.9593777558645377,12453,14
10000,8,10000,False,1.967235427003621,0.004626973122818704,0.9623252784535657,12384,15
10000,9,10000,False,1.962329690044606,0.004765371064124188,0.9610140084559752,11916,13
10000,10,10000,False,1.9658745744982857,0.004731505000709899,0.9581025893654331,12721,12
10000,11,10000,False,1.9730041438450105,0.004721629905673379,0.9613974754915966,12034,13
10000,12,10000,False,1.9656318795481862,0.004889405526571785,0.9585109345455881,12230,13
10000,13,10000,False,1.97088879672553,0.0049503172117326836,0.9585166207023831,12146,13
10000,14,10000,False,1.9708996960186531,0.004886719648442955,0.9591713483620748,12074,13
10000,15,10000,False,1.9755978305318884,0.004786141410188409,0.959139059189764,12275,13
10000,16,10000,False,1.972535109641658,0.004693040651792444,0.9604200061401084,12669,14
10000,17,10000,False,1.9691782249773835,0.004813368938828492,0.9592821798562601,12225,13
10000,18,10000,False,1.9758915368600933,0.0046771232758139325,0.9604143343895034,12719,14
10000,19,10000,False,1.968514505165284,0.004776908403350779,0.9583159300496215,12675,13
20000,0,20000,False,1.9692714977981982,0.004769515869880202,0.9603708480341948,12772,15
20000,1,20000,False,1.976690054054699,0.0048332445240559475,0.9606155999668353,12455,15
20000,2,20000,False,1.971347343887592,0.004794302091834875,0.9601036201242409,12793,15
20000,3,20000,False,1.9637236281049397,0.004912223473742806,0.9588182114734028,12583,15
20000,4,20000,False,1.9655310868272808,0.004811010644832461,0.9597168743894948,12781,15
20000,5,20000,False,1.9703816206754874,0.004845559752807565,0.9597152630920959,12771,15
20000,6,20000,False,1.9620009355735837,0.004762894226314605,0.9593287082419352,13071,16
20000,7,20000,False,1.9779165607160283,0.004782763633844652,0.9605442172412954,12518,15
20000,8,20000,False,1.9675186989974378,0.0048909890559909125,0.9592936115204796,12783,15
20000,9,20000,False,1.9628471566571821,0.004792057577885318,0.9597205039636678,12870,16
20000,10,20000,False,1.9669217192379638,0.004855916637623272,0.9587401261677756,12779,15
20000,11,20000,False,1.967118674751762,0.00471571918350712,0.9606699513594235,12933,15
20000,12,20000,False,1.9882859834193531,0.004799378101130888,0.9599738832055241,12561,15
20000,13,20000,False,1.965661921240692,0.004922608612049723,0.9597060286508875,12484,15
20000,14,20000,False,1.969607519929708,0.004923440806250794,0.9588981021226493,12469,15
20000,15,20000,False,1.9738437791383867,0.004864332341799803,0.9579742825840964,12979,15
20000,16,20000,False,1.9693753673945207,0.004837077770327945,0.9597690542981626,12773,15
20000,17,20000,False,1.9549886184500307,0.004655356334306262,0.9608935790009674,13126,15
20000,18,20000,False,1.963666922659833,0.004736263718646626,0.9603948005225523,12870,15
20000,19,20000,False,1.9690610304203768,0.004780101048332115,0.9608088423307373,12686,16
26181,0,26035,True,1.9620336088167654,0.004803083744928076,0.9597980002860228,12874,15
26181,1,26035,True,1.972785347191676,0.004866531706180407,0.9586276278297599,12748,15
26181,2,26035,True,1.98284321995739,0.0048552718188626665,0.9604424593063897,12155,15
26181,3,26035,True,1.959782275422677,0.004838666686239717,0.960375907028977,12641,15
26181,4,26035,True,1.96385443222055,0.004844403290468304,0.958247224089817,12946,15
26181,5,26035,True,1.9541584364120972,0.004899484480622227,0.9578347604287243,12999,15
26181,6,26035,True,1.968780798486718,0.004802259803357364,0.9596269573222125,12799,15
26181,7,26035,True,1.9743259777423736,0.0047894606228197365,0.9605605072697212,12781,16
26181,8,26035,True,1.9725443993591805,0.004755570897016893,0.960136081915938,12865,15
26181,9,26035,True,1.970073595093469,0.004909236861198574,0.9588422990461998,12677,15
26181,10,26035,True,1.9719088920564425,0.0048367842012191345,0.9594054249161674,12788,15
26181,11,26035,True,1.9677890240069031,0.004838427830534482,0.9595285285056733,12581,15
26181,12,26035,True,1.9597935087769254,0.0048672969410014375,0.9599759610778286,12619,15
26181,13,26035,True,1.9690274204063731,0.004925891023887661,0.9578538235950769,12849,15
26181,14,26035,True,1.9718899776037022,0.00481804722201142,0.9602778359228811,12610,15
26181,15,26035,True,1.9674068993957097,0.004880539006868814,0.9585153167688844,12858,15
26181,16,26035,True,1.9716443814776248,0.004874124592011197,0.9591214200189004,12380,15
26181,17,26035,True,1.9739396194888978,0.004874425734738483,0.9588525655128277,12647,15
26181,18,26035,True,1.9681194518925678,0.004828582737788727,0.9595900619109152,12774,15
26181,19,26035,True,1.9741361982457126,0.00480638348604131,0.9603232874162498,12645,16
